,ticker,company_name,pe_ratio,current_ratio,roce,debt_to_equity_ratio,inventory_turnover_ratio,free_cash_flow,reserves_trend,quick_ratio,return_on_equity_ratio,return_on_investment
185,MPC,marathon_petroleum,0.0,0.99,-0.07047721435823927,0.59,1.7,163.0,-1119.8000000000009,0.94,-0.0038,0.0206
186,MKTX,marketaxess,4.57,2.02,-0.17622850564788833,1.55,3.21,-218.0,-798.6000000000008,1.48,0.28800000000000003,0.0479
187,MAS,masco,37.81,6.66,0.09969249082432298,1.17,1.56,690.4,398.09999999999997,5.46,0.12,0.10779999999999999
188,MA,mastercard,38.37,1.81,0.33697632058287796,54.4,1.31,840.0,88.60000000000004,1.22,2.3129,0.4802
189,MCD,mcdonald's,34.38,0.68,0.11058277120424638,1.93,0.79,816.0,360.7,0.3,0.1802,0.11900000000000001
190,MCK,mckesson_corporation,27.64,1.33,0.15768849847134306,-10.29,55.29,4651.8,1997.4999999999975,1.32,-1.0975,0.3575
191,MDT,medtronic,0.0,0.99,-0.2410099464422341,-732.05,3.27,3901.0,-993.8000000000008,0.57,82.1709,-0.3754
192,MRK,merck,29.81,2.91,0.053019912027621435,0.76,0.57,4885.0,1440.0999999999985,2.36,0.09119999999999999,0.0683
193,FB,meta_platforms,27.08,1.31,0.13200852772288013,1.61,0.62,5569.0,1170.9999999999984,1.07,0.2365,0.1741
194,MGM,mgm_resorts_international,53.19,1.24,0.3969620253164557,19.15,1.04,635.31,512.5999999999998,0.86,3.6124,0.561
195,MCHP,microchip_technology,34.52,1.96,-0.01853455742248398,2.55,14.78,-1757.49,707.4,1.93,0.056799999999999996,0.06509999999999999
196,MU,micron_technology,76.03,1.92,0.07093610064681213,1.84,0.82,1832.2,586.5,1.28,0.1184,0.09949999999999999
197,MSFT,microsoft,20.98,3.1,0.11984740104911779,0.33,0.97,2438.0,6657.099999999999,2.36,0.1705,0.1618
198,MAA,mid-america_apartments,37.62,2.17,0.28522939597424957,1.21,4.0,56118.0,9945.600000000002,2.12,0.486,0.3889
199,MHK,mohawk_industries,15.57,1.35,-0.25881953867028495,1.07,0.75,1959.52,-463.00000000000006,1.25,1.216,1.2663
