Unnamed: 0,ticker,company_name,pe_ratio,current_ratio,roce,debt_to_equity_ratio,inventory_turnover_ratio,free_cash_flow,reserves_trend,quick_ratio,return_on_equity_ratio,return_on_investment,price_trend
284,TT,trane_technologies,30.43,1.7,0.1879359095193214,2.83,0.88,1102.31,407.8,0.62,0.4686,0.4046,15.478894734701198
285,TDG,transdigm_group,36.27,1.62,0.11094224924012157,1.81,1.7,1288.9,177.99999999999974,1.28,0.2103,0.1809,14.982692111519185
286,TRV,the_travelers_companies,61.3,4.23,0.0957965103104464,-7.64,0.47,808.0,-314.8,3.52,-0.1828,0.1052,13.062971596014211
287,TFC,truist_financial,39.63,1.37,0.07545813869924542,0.8,1.23,615.2,195.00000000000009,1.08,0.1489,0.1103,12.582374563463784
288,UDR,udr,10.45,1.55,0.14661152614727854,1.03,2.36,2631.0,1822.3,0.86,0.1836,0.16899999999999998,13.536954415234526
289,USB,u.s._bancorp,26.38,1.75,0.0632506004803843,1.66,0.63,658.49,60.10000000000001,0.57,0.4497,inf,12.854911618875697
290,UA,under_armour (class_c),22.54,2.31,-0.16947746751451478,1.44,0.9,120.57,-112.70000000000006,1.69,0.2388,0.1696,12.159723409585729
291,UNP,union_pacific,19.19,2.31,-0.16947746751451478,1.44,0.9,120.57,-112.70000000000006,1.69,0.2388,0.1696,14.274890149294853
292,UAL,united_airlines,26.97,0.75,0.13454701588664664,3.48,3.15,5762.0,4476.600000000001,0.62,0.4032,0.2127,11.70888411957879
293,UNH,unitedhealth_group,0.0,1.36,-0.1358093244772868,11.76,2.7,-5860.0,356.49999999999994,1.31,-0.5981000000000001,-0.0775,21.98726833115877
294,UHS,universal_health_services,20.09,0.8,0.11265490048817126,2.7,8.99,2400.0,1129.2000000000005,0.74,0.242,0.1462,11.775812810825792
295,VLO,valero_energy,10.44,1.19,0.12349945434703527,1.02,1.81,1628.86,429.4999999999994,1.09,0.16329999999999995,0.1458,12.696524578270274
296,VTR,ventas,0.0,1.31,-0.03716081052458168,1.94,4.59,-840.0,794.7999999999981,0.88,-0.0232,0.002,12.265907140693324
